prot,role,srvip,mtu,len,ws,br,par,affin,srvnode,cltnode,t,Bandwidth
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u05,1,212.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u05,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u05,2,220.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u05,2,220.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u05,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,0,217.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,0,217.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,1,219.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,1,219.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,2,219.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u06,2,219.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u06,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,0,219.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,0,219.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,1,215.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,1,216.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,2,214.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u10,2,214.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u10,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,0,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,0,213.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,0,226.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,0,213.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,1,223.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,1,223.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,2,224.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u11,2,224.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u11,2,226.0
